URL,Marktbericht KW,Haltungsform,Label,weiß XL,weiß L,weiß M,weiß S
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-26-2023-kopie.html,Marktbericht KW 27/2023,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 19,80 ( -0,50) "," 11,50 ( -1,00)"," 10,50 ( -1,00)"," 10,00 ( -1,00)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-25-2023-kopie.html,Marktbericht KW 26/2023,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 20,30 ( -0,50) "," 12,50 ( -0,70)"," 11,50 ( -0,70)"," 11,00 ( -0,85)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-24-2023-kopie.html,Marktbericht KW 25/2023,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 20,80 ( -0,45) "," 13,20 ( -0,80)"," 12,20 ( -0,80)"," 11,85 ( -0,85)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-23-2023-kopie302.html,Marktbericht KW 24/2023,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 21,25 ( -0,50) "," 14,00 ( -1,00)"," 13,00 ( -0,93)"," 12,70 ( -0,65)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-23-2023-kopie.html,Marktbericht KW 23/2023,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 21,75 ( -0,35) "," 15,00 ( -0,50)"," 13,93 ( -0,47)"," 13,35 ( -0,15)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-21-2023-kopie.html,Marktbericht KW 22/2023,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 22,10 ( -0,20)"," 15,50 ( -0,50)"," 14,40 ( -0,60)"," 13,50 (  0,00)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-20-2023-kopie.html,Marktbericht KW 21/2023,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 22,30 ( -0,10) "," 16,00 ( -0,50)"," 15,00 ( -0,70)"," 13,50 (  0,00)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-19-2023-kopie.html,Marktbericht KW 20/2023,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 22,40 ( -0,10) "," 16,50 ( -0,20)"," 15,70 ( -0,15)"," 13,50 (  0,00)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-18-2023-kopie.html,Marktbericht KW 19/2023,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 22,50 (  0,00) "," 16,70 ( -0,20)"," 15,85 ( -0,25)"," 13,50 (  0,00)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-17-2023-kopie.html,Marktbericht KW 18/2023,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 22,50 ( -0,10) "," 16,90 ( -0,10)"," 16,10 ( -0,10)"," 13,50 (  0,00)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-16-2023-kopie.html,Marktbericht KW 17/2023,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 22,60 ( -0,08) "," 17,00 ( -0,23)"," 16,20 ( -0,08)"," 13,50 (  0,00)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-15-2023-kopie.html,Marktbericht KW 16/2023,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 22,68 ( -0,12) "," 17,23 ( -0,20)"," 16,28 ( -0,25)"," 13,50 (  0,00)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-14-2023-kopie.html,Marktbericht KW 15/2023,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 22,80 ( -0,20) "," 17,43 ( -0,25)"," 16,53 ( -0,22)"," 13,50 ( -0,05)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-13-2023.html,Marktbericht KW 13/2023,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 23,00 (  0,00) "," 17,68 (+0,03)"," 16,75 (  0,00)"," 13,55 (+0,05)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-14-2023.html,Marktbericht KW 14/2023,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 23,00 (  0,00) "," 17,68 (  0,00)"," 16,75 (  0,00)"," 13,55 (  0,00)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-11-2023-kopie.html,Marktbericht KW 12/2023,Weser-Ems-Notierung/ Bodenhaltung,(deutsch KAT)(," 23,00 (  0,00) "," 17,65 (+0,05)"," 16,75 (+0,05)"," 13,50 (+0,10)"
